question,previewContents
숙제좀 도와주세요,유럽 국가 중에 웨스더 에스더 ? 웨스턴? 에스져 ? 웨스터리? 뭐 이런 이름가진 왕실사람이나 가문이 있어요 ??
호텔조리사 /리조트 조리사,안녕하세요 조리과 2년제 다니고있는 대학생입니다! 제가 취업을 할때 고민중인데 호텔과 리조트로 구분이 되는데 조리사 경력을 쌓을때 호텔에서 경력을 쌓는거하고 리조트하고 경력을 쌓는거하고 많이 차이 나는건가요? 나중에 호텔이나 리조트에서 경력을 쌓고 다른 곳에 취업을 할려고 하면 그때 경력같은 부분에서 갭차이가 많이 나는지 궁금합니다 제가 리조트를 예를 들면 한화리조트 입니다
중2영어 문제,Neither my friend nor I likes classical music 이거 맞는문장인지 틀린문장인지 알려주세요
대중교통 잘 되어있는 여행지,안녕하세요 여행을 가려고 하는데 대중교통이 잘 되어있는곳 추천 부탁드려요!! (서울 부산 대전 광주 제외)
제가 8월2일에 오션월드를 가는데 놀,제가 8월2일에 오션월드를 가는데 놀이기구 뭐뭐 운행하나요? 놀이기구 얼마나 기다리나요?혼잡도 이런것도 자세히 알려주세요
과학세밀화 동물/식물 추천해주세요,과학세밀화에서 그릴 만한 식물/동물 추천해주세요!! 특징이 잘 살아있어 잘 그릴 수 있는 것으로 사진 첨부해주시면 감사하겠습니다^^
다름이 아니라 초보들 6명이서 서해,다름이 아니라 초보들 6명이서 서해 우럭 배 낚시를 가게 됐습니다6월 20일 토요일 11물때 새벽4시출항 오후 5시입항(예약상태)초보들이 가서 입질을 느끼고 많이 잡을 수 있을가요?물살이 쎄서 채비 엉킴이 심하지 않을런지.....(예약자가 많지 않은상태라 멀리떨어져서 하면 괜찮을라나... ㅎㅎ^^;)6월27일 토요일 3물때 이던데 이날로 변경이 가능하면 변경을 하는것이 초보들이 놀기에 좋을지...또 20일 11물때 27일 3물때 정도 차이가 심한지 알고 싶습니다낚시를 하는데 만조 간조 시간때도 중요하다고 하는데....모든것을 종합해...
여수 중앙여고 하복 판매 좀..,하복블라우스100이랑 치마 68 판매점요 가격을 일괄 5만원 이하 생각중입니다
*억지스럽지 않게*,*억지스럽지 않게* 영어다운 표현으로 번역을 좀 부탁합니다.
무료가족사진촬영 + 제주도여행 이벤트 진짜인가요?,제가 sns를보다가 조건이 3인가구이상이고 부모님나이가 90세이상이면 이벤트에 지원할수있다고 그래서 지원을했는데 당첨이됐대요 5만원을 먼저 입금하고 가족사진촬영하면 제주도 여행티켓준다는데 거짓말인가요...?
전염성 강한  옴진드기..딱지 옴 (노르웨이 옴)  환자! 면회 유의사항 알고 싶습니다,"""피부과 전문의 선생님께 여쭙니다"" 노르웨이 옴 있는 어르신인데요..저희가 알기로도 몇 번 치료 하셨는데..시설안에 옴이 계속 돌아서 치료하셔도 계속 재발하십니다! 문제는 면회인들이 면회만 하고 오면 옴이 재발합니다(지금은 코로나 땜에 비접촉 면회라 괜찮아요) 코로나 사라지면..접촉 면회 가능한데..옴 땜에ㅠㅠ 혹시 비닐장갑끼고(라텍스) 휠체워 밀어서 30분정도 산책시켜 드리는 것은 괜찮을까요? 다른 것은 일절 만지지 않고요 아님..테이블에 마주 앉아 일절 만지지 않고 1시간 이야기 하는 것도 옮을까요? 옴이 바닥이나..."
인천 변기.세면대.욕실장.해바라기수전 시공비,스커트 변기. 반족 세면대 1홀수 전. 거울 욕실(1200×800).선반형 해바라기 샤워기의 수전을 설치하려고 하는 지역은 인천 계양구로 비용을 알고 싶어서 문의드립니다.다시 카드결제가 가능합니다.어떨지도 궁금해요.^^
진주에서 화엄사,진주에서 화엄사 가는 교통편 좀 알려주세요 화엄사 출발해서 중산리까지 종주 산행 계획인데 진주까지 자차 이용하고 진주에서 화엄사 중산리에서 진주는 대중교통 이용하려합니다 답변 부탁드립니다
안녕하세요 저는 외국에서 살다가 한,안녕하세요 저는 외국에서 살다가 한국 온지 이제 3년인데 오랜만에 친구가 한국에 왔는데 낚시가 하고싶다고 해서 그러는데. 저의가 장비가 하나도 없는 상테라서 장비까지 대여해주는곳은 없나요?바다낚시 강낚시 저수지 낚씨 모든 상관은 없어요.
방탄 비공굿 출처 기재,제가 이번에 판매계를 시작해보려고 하는데 생산을 하려고 해요. 에즈랜드에서 발주할거고 도안을 사서 발주할건데 아시는것만이더라도 답변 부탁드려요 1. a님꼐 도안을 사서 제가 발주를 하면 도안은 a님이고 출처는 저인가요? 2. 도아너분들은 한분께 그 도안을 팔아야하는거 아닌가요? 3. 번개장터에 도안 80장에 10000원 이렇게 파시던데 도안을 어떻게 그렇게 팔죠..? 4. 포토샵이 없는데 에즈에서 도무송 발주하려면 칼선을 어떻게 하죠?
제부도 해수욕장,제부도 해수욕장에서도 해수욕 할수 있는거죠? 검색해보니까 갯벌밖에 안나오더라고요 혹시 할수있으면 몇시부터 몇시까지 가능한건가요 ㅠ̑̈ㅠ̑̈
경동대 레저리조트학과,리조트학과 농어촌 받으면 등급컷 몇정도 되나요?
제주도 렌트카 질문,나이는 만22세이고 운전면허 취득한지는 2년 좀 넘었는데 완전자차(?)로 제주도에서 렌트카 빌릴수있나요? (믿을만한 곳으로)
영화 캐치미이프유캔을 보고 미국 조종사의 대우가 궁금하네요,영화에서 보면 엄청 신뢰받고 아이들이 사인을 요청하고 명예로워 보이는데 미국에서 항공기조종사란 어느정도의 직업인지 궁금합니다 한국의 조종사랑도 비교해주세용
물리치료학과 학생분들에게 질문합니다!,물리치료학과 학생분들에게 질문합니다! 답변해주시면 감사하겠습니다! 답변이 곤란한 질문은 패스하셔도 됍니다! 1. 수업이 빡세다고 하는데 어느정도로 빡세나요? (주말을 반납하면서 과제를 하는정도인가요?) 2. 수업이 빡세서 자퇴한 학생도 있나요? 3. 남자는 3년제와 4년제중 어딜 더 선호하나요? 4. 코로나사태 때문에 실습은 어떻게 하고 계시나요? 5. 기숙사 생활을 한다면 생활비를 어떻게 마련하고 있나요?
안녕하세요 호텔조리사가꿈인중삼학생입니,안녕하세요 호텔조리사가꿈인중삼학생입니다 이제 갈대학교랑정해야될것같은데 잘모르겠어서요ㅠ 호텔조리사하려면 경희대에 호텔경영학부가잇다던데 그과랑은안맞나요? 그리고호텔조리사되려면 지금부터자격증같은거따놔야할까요 아님공부열심히해야할까요?
울룰루 울룰루 울룰루,호주의 울룰루는 고원 위에 있는 건가요? 학교 수행평가니 잘 알고 있는 분만 답변해주세요
피부과 선생님들이나 약사 선생님들!!!,에스로반 연고를 발라야 할 곳에 착각을 해서 쎄레톤 크림을 발랐습니다. 어떻게 할까 잠시 고민을 하다가 쎄레톤 크림 바른 곳 위에 다시 에스로반 연고를 발랐습니다. 그러다가 이건 아니다 싶어서 욕실에 가서 다시 다 씻어내고 에스로반 연고를 발랐습니다. 혹시 저 위에 쎄레톤 크림을 발랐던 것 때문에 괜히 안 좋아지는 건 아닐까요? 그게 걱정이 되어 이렇게 질문합니다. 1. 에스로반 연고 발라야 할 곳에 쎄레톤 크림 바른 거 괜찮을까요? 2. 쎄레톤 크림 바른 곳에 에스로반 연고 덧붙여 바른 거 괜찮을까요? 3. 다시 다 씻어내...
제주도 사진에 나온 횟집 어딘지 아시는분..,여기가 어딘지 아시는분 혹시 계실까요??ㅠㅠ 시장쪽에있엇던거같은데...기억이안나네요 ㅠㅜ
제가 8월달에 강아지를 데리고 제주도,제가 8월달에 강아지를 데리고 제주도를 갈려고 하는데요! 5명이랑 강아지까지 들어갈수 있는 펜션 추천해주세용
kt 기가지니 옴기기 가능 한가요?,지금일반 셋탑 쓰고있는곳에 기가지니+셋탑 가져가 셀프 설치하면 사용 가능한가요??
마산 광암방파제에,마산 광암 방파제에 경관조명 들어오는거 불이 몇시까지 들어오나요 ????
에어비앤비 숙박 메세지 기록 삭제,에어비앤비 숙박 기록과 메세지 기록 삭제 가능한가요? 가능하다면 어떻게 삭제할 수 있나요?
전애인을 못잊겠어요,학교남자애를 먼저 좋아하다가 고백해서 일년 가까이 사귀다가 권태기가왔었던거같은데 그땐 모르고 많은 생각하지않고 홧김에 헤어지자 말한건데 걔가 잡다가 좀 여러번 헤어지자하니까 알겠다그러더라구요 4개월 정도 지났는데 아직도 안잊혀요 헤어지고나서 이건아닌거같아 2주정도 뒤에 연락해봤는데 큰감정없는거같더라구요 학교에서 잘지내는거 보면 슬프고 걔랑 가던길 가면 계속 생각나고 어떤 사진 보면 그때 기분 감정 다기억나고 새벽되면 너무 보고싶고 꿈에도 자주 나와요 근데 새여친이생겼어요 많이 친하진않는 친구와 비...
남산한옥마을 관련 질문,남산한옥마을에 걸어다니고 있었는데 이런 것을 발견하였어요... 그냥 가옥 쪽에 있었던데 이게 뭔가요?
리솜 스플라스,리솜 스플라스에 놀러갈려고 예매 결제를 했는데요 제 친구들은 QR코드가 왔고 저는 쿠폰 번호라는게 왔어요 둘다 같은건가요? 친구들이 QR코드 찍을때 저는 쿠폰 번호불러주면 되나요?? 빨리 알려주세요!!!!!
가평 빠지,안녕하세요 고3 여학생입니당 저희가 3명에서 가평 빠지를 가려고 하는데요 1박2일로 가여 !! 다 여자구욤 워터파크랑 그 빠지 놀이기구 ?̊̈?̊̈ 그거 있자나여 그냥 다 무제한이구 바베큐도 무제한이였으면 좋겠는데 그런 패키지는 없을까요 ?̊̈ 있긴있던데 그런걸 잘 몰라서 ㅜㅜ 좋은 가평빠지 있음 알려주세용 ㅠㅜ 가는날짜는 8/13~14일 이에용
서울영상고 점수,안녕하세요 서울영상고 영상 편집 쪽으로 가고싶은 중3입니다 요번 중간을제가 평균72정도가 나왔는데 진학 가능한가요? 안된다면 기말때 몇점정도 점수를 올려야 하나요?
부산에서 변산반도,부산에서 저녁6시 후에 전라도로 이동을 해야 합니다. 최종 목적지는 변산반도인데 가는중에 1박 야영을 하고 싶어요~ 뚜벅여행으로 부산에서 전라도는 교통편도 어렵구..서울에서 사는지라 영 감이 안와요ㅠ 도와주세요
구미역에서 김천 증산계곡 어떻게 가요,이번주 토요일날 자가용 타고 가는거는 아니고요. 대중교통 이용할거인데 가는 경로랑 그 버스 시간표좀 알아봐주세요 갔다가 오는 경로도 알아주시면 감사하겠습니다^^ 내공 100이요
경주여행 숙소,고등학생 2명이서 경주 1박2일 여행을 가려고 하는데요!! 미성년자끼리 숙박 되는 숙소 좀 알려주세요 ㅜㅜ 방에서 음식이나 먹을 수 있었으면 좋겠어요!!(몇 게스트하우스는 음식을 못 먹어서 적어요) 숙소는 황리단길 동궁월지 경주역 근처에 있었으면 좋겠어요!! 좋은 곳 있으면 추천 해주세요!!ㅜㅜ 내공드려요
중1 수성구-중구에서 놀만한곳..,중1 남자애들끼리 놀러가는데 수성구나 중구혹은 그 근처에서라도 놀만 한곳 없나요? 수성구청역-대륜고 쯔음에 사는데 계곡산 얘기 하니까 질색하고 라이언즈파크는 애들이 야구를 안봐서-- 수성못은 할게 없고 영화관놀이공원은 안된데요ㅠㅠ 중구나 수성구 수성구청 근처에서 놀만한곳 알려주시면 감사하겠습니다^^ 당일치기로 일욜날 갈꺼고 되도록이면 사람적은데 인파 몰리지 않은곳이면 좋겠네요 조건이 까다로운 만큼 내공 팍팍 드립니다.
다꾸템 샵 어딨는지 알려주실분 서울,다꾸템 샵 어딨는지 알려주실분 서울 거여동 근처나 하남 근처
일본 렌터카 회사,일본 렌터카 회사별 특징이 있나요? 도요타 혼다 닛산 재팬 렌터카 등등
우도 여행 코스,우도봉 쇠머리오름 검멀레해변(보트) 바람의 언덕 서빈백사 블랑로쉐 비양도 제주소품관 우도에서 이렇게 가고 싶은데 몇시간 걸릴까요? 그리고 순서를 어떻게 해야 가장 효율적일까요?
아산 야외 가족사진 촬영문의,안녕하세요. 음봉면쪽의 독채 한옥펜션에서 야외 가족사진을 찍고 싶습니다. 토요일 오후 1시간정도 전문가 모셔서 사진찍고 RAW을 받아갈 수 있는지 궁금합니다. 이런 서비스를 받고 싶으면 어디에 알아봐야할지 비용은 얼마나 될지 궁금합니다. 사진보정은 그냥저냥 할 줄은 알아서 비용을 줄일 수 있으면 RAW을 받고 싶습니다. 혹시 보정까지 받게되면 비용이 어느정도 될지... 궁금합니다.
서울 추천,홍대 명동 북촌 중에 10대들이 가장 놀기 좋은 곳이 어디일까요
충청도문화 전라도문화 수도권문화,안녕하십니까?충청권 사는 사람입니다.저는 대전토박이 같다는말 많이듣는편이고 가끔은 청주토박이 같다는말도 듣습니다.이제 질문좀 드리겠습니다. 1.세종시 대전 청주는 충청도문화 영향큰편 맞죠? 2.아산은 수도권문화영향이큽니까? 충청도문화영향이 큽니까? 3.계룡 논산 부여는 전라도문화영향이 클까요?? ※지역감정 품지않았으니 오해 하시지 마시기를 바랍니다. 좋은답변 빠른답변 부탁드립니다. 내공70드립니다.
하동 렌트카,하동여행 갈예정인데 하동에는 차 렌트하는곳이 한군데 밖에 없더라구요.. 드림렌터카라고 후기가 없던데 여기 어떤가요? 아님 여기말고 다른 곳이 있을까요?
롯데월드 운휴 기구 중간에 추가 될 수 도 있어요?,분명히 31일날 드롭 운휴 없었는데 지금 봤는데 생겼네요.. 이건 좀 아닌거 같은데; 운영 개같네요 이거 당일날 중간에 풀리고 그러진 않죠..?
물고기가 가만히 있어요(내공100),몇주동안 물고기가 맨날 계속 가만히 있고 입을 뻐끔거리는데 왜 이럴까요 바닥에만 붙어있어요. 환수는 2달에 1번씩 해요. 물량이 많고 고기 마리수가 적어서 여과력도 빵빵하구요
계곡)수락산 벽운계곡 쉼터 어떻게생겼나요 ?,제목그대로에요 ㅜㅜ 사진이있으면 더좋아요 ㅜㅜ
광주 주변 한적 놀 곳,광주에 살고 사람 별로 없고 엄청 재밌게 놀 수 있는 곳 추천이요 가까운데로
제주도 여행,18살 남고생인데요 친구들이랑 제주도 1박2일 여행을 계획중인데 청소년 숙박 가능 업소가 있을까요?
길동 수족관,안녕하세요! 제가 강동구 길동 근처에 사는 사람인데요.. 예전부터 지나다니면서 매니아 수족관을 자주 보았습니다(간판) 거기 수족관 괜찮은가요? 사장님께서는 친절하신가요? 거기 수족관 분양 가격이 어느정도 되나요? 또 거기 수족관 물고기 건강한가요??? 정확한 답변 주시면 정말 감사하겠습니다!!!!
계곡)수락산 벽운계곡쉼터 어떻게생겼나오 ?,수락산 벽운계곡 쉼터 어떻게생겼나요 ?ㅡㅜ뭐 테이블있다하던데 사진이면 더좋아요 ㅜㅜ
세븐일레븐,현금으로 포인트 충전하는 방식이 1000원=1000포인트 인가요~?
중국 상해 동화대학교 모델과 질문,동화대학교에 모델과가 있는걸로 아는데 홈페이지에 들어가도 유학생쪽으론 모델과 얘기도 없고  중국어과 영어로 진행되는 디자인학과 비즈니스학과 이런거 밖에 없어서 그러는데 동화대학교에서는 모델과 유학생 안 뽑나요 ?? ㅜㅠㅠㅜㅜㅠ 만약 뽑으면 자세히 좀 알려주세요 ㅜㅠㅠㅜ
몽산포 간조시간 좀 알려주세요!!,안녕하세요! 2020년 7월 31일 금요일에 몽산포 가는 사람이예요! 제가 몽산포 간조시간을 몰라서 그러는데 정확히 알려주실 수 있을까요? 2020년 7월 31일 금요일까지 빨리 알려주세요! 이상한 답변은 신고합니다.
남해 맛집,이번에 남해로 당일치기여행 가려고하는데요. 맛집을 찾아보니 거의 멸치쌈밥 아니면 양식이더라구요;; 해산물이랑 느끼한걸 안 좋아하는데 진짜 남해에 멸치쌈밥 양식종류 밖에 없는건가요??ㅠㅠ 한식 현지인 맛집 추천 해 주세요~~
국내선 영문 이름 변경,부산 가는 비행기로 티웨이 항공 예약 했는데요 해외 여행사 끼고 예약한거라 예약할 시 영문 이름으로 기재하라해서 기재했거든요ㅜ 근데 티웨이 항공 서비스센터 영업 끝나고 8시쯤 카카오톡으로 영문 기재시 여권이 필요하고 변경할시 예약센터나 카운터에서 변경 가능하다는데 저는 일단 여권이 없는 상태고 (발급을 안받아서^^;;) *당장 내일 비행기 타러 가야 하는데 당일날에 카운터에서 영문이름에서 한글 이름으로 변경할 수 있나요?*
지금 무주에 계곡 어떤가요?,무주 계곡 놀려가는데 짐 계곡 상태가 궁금하네요?
코로나로 인해 경조사 휴가연기사유서를 쓰라는데 도와주세요,"코로나로 인해서 5월 신혼여행을 9월로 미뤘습니다 물론 5월엔 파리스위스 였지만 9월은 국내로 갑니다 회사에서 신혼여행에 쓸수 있는 청원휴가5일을 원래는 안되지만 코로나로 상황이 심각해지니 편의를 봐준다고 9월에 청원휴가를 쓰라고 했어요 당장 9월에 쓸려하니 ""코로나로 인해 경조사 휴가 연기 사유서"" 라는걸 써오라네요 양식도 없다면서 그럴듯하게 글을 써오라는데 어떻게 글을 써야할지 감이 안서서 다른 사유서를 찾아봐도 참고할것도 없고 말을 못쓰겠어서 ㅠㅠ 어떻게 글을 쓰면 좋을까요 도와주세요.. 5월2일 결혼 5..."
수락산벽운계곡,수락산 벽운계곡 쉼터가 어떻게생겼나요 ?? 미자가 술마시면 잡나요 ??
영어 간단 문법 질문,all his difficulties라는 말을 his all difficulties 로 고칠 수 있나요? 안된다면 이유가 뭔가요?
평택 청북다이소에 낚시대 파나요?,평탹 청북다이소에 배스낚시대 파나요?
인터넷을 보니,인터넷을 보니 지금 뱀 보호종이 칠점사와 구렁이 종류 전체라고 나와 있는데 다른 종은 잡거나 활용?해도되나요?
아프리카 별풍 쏠때,아프리카티비 별풍쏠때 멘트 같이 날리는거 어떻게해요 그냥 쐇다가 별풍만 날아가버림..
아프리카 트위치에 수익구조가 궁금합니다,유튜버들은 조회수 광고를 넣어서 수익을 창출하는걸로 알고 있는데 아프리카 별풍선이나 트위치 도네이션은 뭔가요? 도네이션이나 별풍선이 현금화가 되는건가요? 도네이션은 계좌후원인가요? 별풍선은 문화상품권 같이 사야 하는 건가요?
환전 사기당한 것 같아요,중국에 돈 보내려고 환전소에서 환전했는데 중국 계좌가 동결됐어요 어떻게 하면 좋을까요?
내공 800 [프랑스 테이터 속도 비교 궁금] 유심 vs 포켓와이파이 데이터 비교,프랑스에서 유심테이터 속도가 빠른지 포켓와이파이 속도가 빠른지 궁금합니다. 각각 금액 등 장단점 비교해주시면 감사하겠습니다 ! 포켓와이파이는 Glocalme G4 생각중입니다.
서울 동선 좀 짜주세요 ㅜㅜ,제가 친구랑 시험 끝나고 서울로 놀러 가기로 했는데 친구랑 서울 가는건 처음이라 길을 몰라서요 ㅜㅡㅜ 교통비 최대한 아끼면서 최소 동선으로 부탁드려요ㅜㅜ 우선 저는 영통 홈플러스에서 출발할거구요 지하철이나 버스 상관없어요 가야할 곳은 애플스토어(가로수길) 무유무유 오월상점 그날 봄(등등 소품샵을 가야하는데 소품샵이 다 모여있는지 아닌지 모르겠어요ㅜㅜ) 121르말뒤페이를 가야합니다. 각 장소로 이동할 때 몇 시간(분) 걸리는 지도 적어주시면 감사하겠습니다ㅠㅜㅠㅜㅠㅜ
8월14일에 빠지를 가려고 하는데 사람 많을까요?그리고 코로나 괜찮을까요?,8월14일에 빠지를 가려고 하는데 사람 많을까요?그리고 코로나 괜찮을까요?
팔에 검은끼가 도는?? 염증이 났어요,팔에 이런 염증이 생겼는데 욱씬욱씬 아프네요 그쪽 팔도 저린 것 같은데 이게 뭔가요? 내공 100 걸어요
스위스 취리히의 자연환경,스위스 취리히의 자연환경 특징 좀 알려주세요
스위스의 관광지 발달에 대해서,스위스 지역의 앞으로의 관광지 발달은 어떻게 될까에 대해서 좀 알려주세요ㅠㅠㅜㅜ
놀이기구 공포,안녕하세요 여러분들은 놀이기구타면 자이로드롭같은건 높은데 올라갔다가 좀있다 바로 내려오는건데 내려올때 안전바 위로 올라가면 떨어져죽잖아요.타면서 안전바 올라가면 어떻하지 어떻하지 어떻하지 이런거땜에 무섭나요 아니면 높은데 올라갔다가 바로 내려오는거니까 이런거 몸으로 느끼는게 무섭나요? 솔직히 롤러코스터 타도 몸은 진짜 좋은데 정신이 이거 풀리면 ㅈ된다 ㅈ된다 이런생각땜에 도저히 못타겟어요. 안전바에 걍 내목숨 바치는거잖아요. 짚라인 봐도 바다위에 짚라인 줄연결해서 타고 내려오는거 진짜 시원하고 바...
강릉펜션 질문이요! 이곳 어디펜션인지 아시는분있나요?,사진만있는데 도저히 못찾겠네요ㅠㅠ 여기 어딘지 혹시 아시는분있나요?
gs편의점 커피 카페25랑 맛이 비슷한 원두가 있을까요?,gs편의점 커피 카페25 원두입니다 이거랑 최대한 맛이 비슷한 원두 알려주세요. 카페25 시그니처 블렌드 과테말라35% 콜롬비아30% 브라질20% 에티오피아10% 코스타리카5%
농업 진흫구역에ㅜ제조장허가를 득햇읍니다 수제비 숙면을 생산하려하는데 가능한지요,김포에 농촌진흥구역에제 식품제조장허가를 득했읍니다 숙면 수제비를 생산하려하는데 가능한지요
수상팬션 예약 가능한곳 있나요 이번주 토요일 8.1,서해바다쪽으로 인천이랑 한 2-3시간 까진 괜찮을것 같은데 사람은 3명입니다 혹시 바다낚시하면서 바다위에 팬션 즐길만한대가 있을까요? 지금 거의다 예약이 가득 찬거같아서요
맹구랑 돌맹이,맹구가 돌맹이 보고있거나 들고있거나 암튼 돌맹이랑 같이있는 맹구 사진 좀 주세요
請多指敎(청다지교) 라는 말을 대만사람도 쓰나요?,검색하니까 중국만 나오는데 주로 중국에서 쓰이는 건가요? 아니면 대만에서도 사용하나요?
서울 숙박 가능한 파티룸,서울 숙박 가능한 파티룸 있나요? 인원은 7명정도 될것같고 시끄럽게 해도 상관없고 노래방기계가 있었으면 좋겠어요 시설도 좋은곳이요ㅠㅠ
한탄강세계지질공원 돌아보는 시간과 방밥,블로그들을 봐도 시간이나 방법은 자세히 안나와있네요 그냥 차가지고 돌면서 주차하고 걸어가서 보고 나오는 거 같긴한데 각 명소별 돌아보는 시간을 대충이라도 알 수 있을까요? 좌상바위에서 재인폭포까지 몇군데 가보려구요
홈페이지 개설의 홍보효과(?),체험마을에 홈페이지 개설 이후에 홈페이지 방문자 수에 비례한 체험마을에 체험객이 증가하는 홍보효과를 알 수 있는 논문이나 자료들이 있을까요?
여기 어딘지 알려주세요,국내에 꽤 유명한곳 같아요
일본 도쿄돔 점프샵,일본 도쿄돔 점프샵은 모두 공식굿즈만 파나요?? 일단 거기에서 사면 무조건 공굿인가요?
여름휴가지 추천 부탁드립니다,안녕하세요 여름휴가지추천 부탁드립니다 여자인 친구들끼리 놀러가려고하는데 일시는 8월8일~9일 (1박2일)입니다 2명은 원주시출발 / 1명 서울출발 / 1명 대구 출발이라 중간쯤되는 곳으로 캠핑(?) 계획중인데 중간쯤이면서 휴가갈만한 지역을 못찾겠어서 질문드립니다 놀곳(바다나 계곡+ 팬션)이있고 원주에서 1시간내외거리 서울과 대구에서 2시간 내외거리로 휴가지 좋은곳 추천부탁드립니다 모두 대중교통이용할거라 이동하기 좋은곳 추천해주시면 감사하겠습니다 내공100
대가족(22명 어린이포함) 계곡 당일치기,2020년 8월16일 저희 대가족 당일치기 계곡여행 알아보고 있습니다. 닭오리백숙 주류등 음식 시켜먹을수 있으면서 화장실 샤워장 수영장 시설 갖춘곳 경기도 성남시광주시 기준 차량으로 1시간~1시간30분내 거리에 있는곳 위 조건에 맞는곳 있으면 추천 부탁드립니다^^ 방갈로 렌탈해야 하는곳이면 가격도 부탁드려요~
입학(?) 여행이란게 있나요?,수학여행 취소 수학여행 대신 가기로 했던 경주월드마저 취소된 초 6입니다. 시국이 시국인지라 학교를 원망하진 않는데요 조금 슬퍼서요. 전 주변에 저보다 나이많은사람이 많아서 그런지 저만의 수학여행 로망은 있었습니다. 가서 밤까지 친구들이랑 수다떨고 잠옷도 다 같은걸로 맞춰 가려고 했는데 다 취소더라고요. 마지막 희망이다 라고 생각했던 경주월드마저 취소되니 조금 그러더라구요. 저가 다니는 초등학교를 졸업한 언니한테 졸업여행같은건 없었냐 물어보니 없었데요 그래서 말인데요 입학(?) 여행같은건 없을까요? 진짜 너...
유튜브 프리미엄,무료 체험후 까먹고 구독취소를 안해서 자동결제 되었는데 결제요금이 핸드폰요금 청구서에 적히나요?
